education,language,age_category,income_category,income_number,gender,province,health,citizenship,born_in_canada,marital_status,owns_house,vote_choice
No degree/diploma,English,65-74,"$25,000 to $49,999",49000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
Postgrad,English,25-34,"$75,000 to $99,999",75000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,35-44,"$75,000 to $99,999",99000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,2
Postgrad,English,75-84,"$50,000 to $74,999",69000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,5
Bachelor,English,25-34,"Less than $25,000",19000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,5
High School,French,55-64,"$25,000 to $49,999",40000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,Neither English nor French,45-54,"Less than $25,000",-451374487362564e29,Female,British Columbia,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
College/Trade,English,25-34,"Less than $25,000",-43499084418594823e27,Female,British Columbia,Excellent,Yes,Yes,Married,No residence,5
Bachelor,French,45-54,"Less than $25,000",19000,Female,Quebec,Poor/Fair,Yes,Yes,Divorced,No residence,2
High School,English,65-74,"$25,000 to $49,999",49000,Male,New Brunswick,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"Less than $25,000",20000,Male,Ontario,Poor/Fair,Yes,No,Separated,No residence,3
College/Trade,English,65-74,"Less than $25,000",-4775321290207233e28,Male,Ontario,Good/Very Good,No,Yes,Married,Own a residence,2
High School,English,35-44,"$50,000 to $74,999",50000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,3
Bachelor,French,55-64,"Less than $25,000",-493233029656349e29,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English,35-44,"$25,000 to $49,999",30000,Male,Ontario,Don't Know,Yes,Yes,Never Married,No residence,5
High School,English,65-74,"$125,000 and more",250000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,French,55-64,"Less than $25,000",-4952899685079127e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,25-34,"Less than $25,000",19000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
High School,French,35-44,"$75,000 to $99,999",99546,Male,Quebec,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,3
College/Trade,English,75-84,"$25,000 to $49,999",35000,Male,New Brunswick,Poor/Fair,Yes,Yes,Married,Own a residence,2
Postgrad,English,45-54,"$125,000 and more",150000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,5
High School,English_and_French,25-34,"Less than $25,000",-4033571064534036e28,Male,Prince Edward Island,Poor/Fair,Yes,Yes,Living with a partner,No residence,5
Postgrad,Neither English nor French,45-54,"$125,000 and more",125000,Male,Ontario,Poor/Fair,Yes,No,Married,Own a residence,1
High School,French,65-74,"$25,000 to $49,999",35000,Female,Quebec,Excellent,Yes,Yes,Married,No residence,4
Bachelor,English,45-54,"$75,000 to $99,999",89000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
Postgrad,French,45-54,"Less than $25,000",-36457907237088056e27,Female,Quebec,Excellent,Yes,Yes,Never Married,Own a residence,5
Bachelor,French,55-64,"Less than $25,000",-43993555531614975e27,Male,Quebec,Excellent,Yes,No,Living with a partner,Own a residence,2
No degree/diploma,English,35-44,"$25,000 to $49,999",30000,Male,Alberta,Poor/Fair,Yes,Yes,Living with a partner,No residence,1
Postgrad,English,25-34,"$50,000 to $74,999",69000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
Postgrad,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
High School,English,65-74,"$50,000 to $74,999",50000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,2
Bachelor,English,65-74,"$50,000 to $74,999",74000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,French,45-54,"Less than $25,000",-4261783475603765e28,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
College/Trade,English,65-74,"$25,000 to $49,999",39000,Male,Nova Scoita,Good/Very Good,Yes,Yes,Never Married,No residence,2
Bachelor,English,85+,"$50,000 to $74,999",50000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,1
Bachelor,English_and_French,65-74,"$75,000 to $99,999",85000,Male,Ontario,Good/Very Good,Yes,Yes,Married,No residence,1
College/Trade,Neither English nor French,55-64,"Less than $25,000",-4791295505639969e28,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
High School,English,65-74,"Less than $25,000",20000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,2
Bachelor,French,45-54,"$50,000 to $74,999",58000,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
College/Trade,English,45-54,"$50,000 to $74,999",59000,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,Own a residence,1
Postgrad,English,55-64,"$100,000 to $ 124,999",124000,Male,Prince Edward Island,Poor/Fair,Yes,Yes,Married,Own a residence,1
Postgrad,English,35-44,"$50,000 to $74,999",71000,Male,Ontario,Excellent,Yes,Yes,Married,Own a residence,6
College/Trade,English,55-64,"$25,000 to $49,999",35000,Male,New Brunswick,Poor/Fair,Yes,Yes,Never Married,Own a residence,5
College/Trade,Neither English nor French,55-64,"$125,000 and more",150000,Female,Ontario,Good/Very Good,Yes,No,Married,No residence,2
College/Trade,English,25-34,"Less than $25,000",5000,Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Never Married,No residence,1
Bachelor,Neither English nor French,55-64,"$25,000 to $49,999",40000,Male,Ontario,Excellent,Yes,Yes,Married,No residence,3
Bachelor,English,55-64,"$125,000 and more",152000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English,55-64,"$75,000 to $99,999",85000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,5
College/Trade,English,65-74,"Less than $25,000",-5088653293668033e28,Male,Ontario,Good/Very Good,Yes,No,Living with a partner,Own a residence,3
College/Trade,English,65-74,"$50,000 to $74,999",51000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
High School,English,45-54,"$75,000 to $99,999",95000,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,French,25-34,"Less than $25,000",-4701656963416188e28,Male,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,4
Bachelor,English,15-24,"$25,000 to $49,999",40000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
Bachelor,English,55-64,"$100,000 to $ 124,999",112000,Male,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,1
No degree/diploma,English_and_French,65-74,"Less than $25,000",3435670899566178e40,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
Bachelor,English_and_French,65-74,"$50,000 to $74,999",50000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English_and_French,75-84,"$50,000 to $74,999",55000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,1
Bachelor,French,55-64,"$125,000 and more",150000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,French,55-64,"Less than $25,000",-4933157863279842e28,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,4
Postgrad,English_and_French,45-54,"$125,000 and more",36830206832028055e41,Female,Ontario,Excellent,Yes,No,Married,Own a residence,3
College/Trade,English,65-74,"Less than $25,000",-5201714151771717e28,Female,Newfoundland and Labrador,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,French,45-54,"$50,000 to $74,999",62000,Female,Quebec,Poor/Fair,Yes,Yes,Living with a partner,No residence,2
High School,English,75-84,"$50,000 to $74,999",52000,Male,Nova Scoita,Poor/Fair,Yes,Yes,Widowed,No residence,1
Bachelor,English,65-74,"Less than $25,000",-5174600452775456e28,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,Own a residence,1
Postgrad,English,85+,"$25,000 to $49,999",40000,Female,Ontario,Good/Very Good,Yes,Yes,Separated,No residence,1
College/Trade,French,65-74,"Less than $25,000",15000,Male,Quebec,Don't Know,Yes,Yes,Never Married,No residence,2
College/Trade,English,55-64,"Less than $25,000",-5051064342288479e28,Female,New Brunswick,Good/Very Good,Yes,Yes,Married,Own a residence,2
College/Trade,English,65-74,"$25,000 to $49,999",49000,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,5
Bachelor,Neither English nor French,35-44,"Less than $25,000",-5061202034563787e28,Female,Quebec,Good/Very Good,Yes,No,Married,Own a residence,1
Postgrad,Neither English nor French,65-74,"$100,000 to $ 124,999",120000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,English,35-44,"Less than $25,000",15000,Male,Alberta,Don't Know,Yes,Yes,Never Married,No residence,2
Bachelor,English,65-74,"$50,000 to $74,999",64000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Bachelor,English,65-74,"Less than $25,000",-5023090409468642e28,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"Less than $25,000",-4458101900986728e28,Female,Ontario,Don't Know,Yes,No,Living with a partner,Own a residence,1
Bachelor,English,55-64,"$25,000 to $49,999",45000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
Bachelor,English,25-34,"Less than $25,000",-4.9986554132647835e+43,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
No degree/diploma,Neither English nor French,15-24,"Less than $25,000",16000,Male,Alberta,Poor/Fair,Yes,Yes,Never Married,No residence,5
College/Trade,English,55-64,"$50,000 to $74,999",65000,Male,Ontario,Excellent,Yes,Yes,Divorced,Own a residence,1
College/Trade,French,75-84,"Less than $25,000",-40689822087652967e27,Female,Quebec,Excellent,Yes,Yes,Divorced,No residence,4
Bachelor,French,55-64,"$100,000 to $ 124,999",110000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,5
College/Trade,Neither English nor French,75-84,"Less than $25,000",-48081517329677655e27,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,55-64,"$25,000 to $49,999",31000,Female,Quebec,Poor/Fair,Yes,No,Married,Own a residence,1
High School,French,55-64,"Less than $25,000",-4822372813646125e28,Female,Quebec,Poor/Fair,Yes,Yes,Married,No residence,2
College/Trade,French,55-64,"$50,000 to $74,999",52000,Female,Quebec,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
Bachelor,English,55-64,"$125,000 and more",170000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English,55-64,"$75,000 to $99,999",75000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,3
Postgrad,English,55-64,"Less than $25,000",-5063162060997252e28,Female,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,1
High School,Neither English nor French,65-74,"$50,000 to $74,999",59000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
College/Trade,French,55-64,"$25,000 to $49,999",38500,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,6
College/Trade,English,35-44,"Less than $25,000",15000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,3
High School,French,35-44,"$25,000 to $49,999",29000,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,Own a residence,2
College/Trade,French,45-54,"$100,000 to $ 124,999",120000,Female,Quebec,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,45-54,"Less than $25,000",-43519338025073953e27,Female,New Brunswick,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,1
College/Trade,English,65-74,"Less than $25,000",21000,Male,Newfoundland and Labrador,Poor/Fair,Yes,Yes,Divorced,Own a residence,1
Postgrad,French,45-54,"$100,000 to $ 124,999",100000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,5
Postgrad,French,65-74,"$25,000 to $49,999",25000,Female,Quebec,Excellent,Yes,Yes,Divorced,No residence,5
Bachelor,English,45-54,"Less than $25,000",-4567602044402951e28,Male,Ontario,Poor/Fair,Yes,No,Married,Own a residence,1
Bachelor,English,45-54,"$25,000 to $49,999",44000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,5
Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
High School,French,45-54,"$50,000 to $74,999",60000,Female,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"$125,000 and more",160000,Female,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,1
Bachelor,English,55-64,"$125,000 and more",240000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,Own a residence,2
College/Trade,English,55-64,"$75,000 to $99,999",77000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,35-44,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
College/Trade,English,45-54,"$75,000 to $99,999",80000,Male,British Columbia,Poor/Fair,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,65-74,"$75,000 to $99,999",95500,Male,Ontario,Poor/Fair,Yes,Yes,Living with a partner,No residence,3
No degree/diploma,English,45-54,"Less than $25,000",15000,Female,British Columbia,Don't Know,Yes,Yes,Never Married,No residence,1
College/Trade,English,45-54,"$50,000 to $74,999",70000,Female,Ontario,Excellent,Yes,Yes,Married,Own a residence,1
College/Trade,French,55-64,"$50,000 to $74,999",65000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,French,45-54,"Less than $25,000",-395907917102664e29,Male,Quebec,Excellent,Yes,Yes,Divorced,Own a residence,1
College/Trade,English,45-54,"$50,000 to $74,999",50000,Male,Ontario,Poor/Fair,Yes,Yes,Married,No residence,3
High School,English,75-84,"$25,000 to $49,999",26000,Female,Ontario,Good/Very Good,Yes,Yes,Widowed,No residence,2
Bachelor,English,45-54,"$125,000 and more",185000,Female,Ontario,Poor/Fair,Yes,No,Married,Own a residence,3
Postgrad,English,45-54,"$125,000 and more",160000,Female,Newfoundland and Labrador,Excellent,Yes,Yes,Married,Own a residence,1
Bachelor,English,45-54,"$50,000 to $74,999",72000,Female,Ontario,Don't Know,Yes,No,Divorced,Own a residence,1
High School,English,55-64,"Less than $25,000",-4603862533422046e28,Male,Prince Edward Island,Don't Know,Yes,Yes,Never Married,Own a residence,5
College/Trade,English,65-74,"Less than $25,000",18000,Female,Ontario,Poor/Fair,Yes,Yes,Separated,No residence,3
College/Trade,French,55-64,"$50,000 to $74,999",55000,Female,Quebec,Excellent,Yes,Yes,Never Married,No residence,1
Postgrad,English,55-64,"$125,000 and more",155000,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,5
Postgrad,English,25-34,"$75,000 to $99,999",76777,Male,Nova Scoita,Good/Very Good,Yes,Yes,Married,No residence,1
College/Trade,English,55-64,"Less than $25,000",-5193329594250784e28,Male,Ontario,Good/Very Good,Yes,Yes,Divorced,Own a residence,2
Bachelor,French,65-74,"$100,000 to $ 124,999",100000,Male,Quebec,Poor/Fair,Yes,Yes,Married,Own a residence,5
Bachelor,French,35-44,"$125,000 and more",150000,Male,Quebec,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,Neither English nor French,55-64,"$50,000 to $74,999",57000,Female,Ontario,Good/Very Good,Yes,No,Married,Own a residence,1
High School,English,45-54,"$50,000 to $74,999",69000,Male,Ontario,Don't Know,Yes,Yes,Married,Own a residence,1
Bachelor,English,35-44,"$25,000 to $49,999",30000,Female,Ontario,Poor/Fair,Yes,Yes,Married,No residence,5
College/Trade,French,65-74,"Less than $25,000",-4937175917468444e28,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,Own a residence,2
High School,English,45-54,"Less than $25,000",21000,Female,Quebec,Good/Very Good,Yes,Yes,Never Married,No residence,5
Postgrad,French,45-54,"$125,000 and more",142000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,2
College/Trade,English,55-64,"$50,000 to $74,999",50000,Male,Ontario,Poor/Fair,Yes,Yes,Divorced,Own a residence,5
Bachelor,English_and_French,25-34,"$50,000 to $74,999",57000,Male,Maintoba,Good/Very Good,Yes,Yes,Never Married,No residence,2
Bachelor,French,35-44,"Less than $25,000",-4719449647817751e28,Female,Quebec,Poor/Fair,Yes,Yes,Never Married,No residence,6
High School,English,75-84,"Less than $25,000",-4548176004640169e28,Female,Ontario,Don't Know,Yes,No,Married,No residence,2
Postgrad,English,45-54,"$125,000 and more",250000,Male,Ontario,Good/Very Good,Yes,No,Married,Own a residence,2
Bachelor,English,45-54,"$100,000 to $ 124,999",100000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
College/Trade,English_and_French,65-74,"Less than $25,000",-446981850344455e29,Male,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Postgrad,English,65-74,"Less than $25,000",-5296198314900452e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,3
No degree/diploma,English,25-34,"$100,000 to $ 124,999",120000,Male,Ontario,Poor/Fair,Yes,Yes,Never Married,Own a residence,3
Bachelor,English,55-64,"Less than $25,000",-5201431036842439e28,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,1
Postgrad,English_and_French,25-34,"$75,000 to $99,999",90200,Male,Ontario,Good/Very Good,Yes,Yes,Never Married,No residence,5
High School,English,15-24,"$25,000 to $49,999",40000,Female,Ontario,Poor/Fair,Yes,Yes,Never Married,No residence,1
Postgrad,English,35-44,"$75,000 to $99,999",95000,Male,Ontario,Good/Very Good,Yes,Yes,Living with a partner,No residence,2
Bachelor,French,55-64,"$75,000 to $99,999",81000,Male,Quebec,Excellent,Yes,Yes,Married,Own a residence,4
Bachelor,English,55-64,"$75,000 to $99,999",75000,Female,Ontario,Good/Very Good,Yes,Yes,Married,Own a residence,2
Bachelor,English,35-44,"$100,000 to $ 124,999",108000,Male,Ontario,Poor/Fair,Yes,Yes,Married,Own a residence,3
